Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
33,Pontine central gray,Pontine central gray,PGC,14,Pontine Central Gray Area,121,4,125,#AFAF00,41.47312541
34,Sublaterodorsal nucleus,Sublaterodorsal nucleus,SLD,14,Pontine Central Gray Area,82,0,82,#AFAF00,64.71981058
35,Laterodorsal tegmental nucleus,Laterodorsal tegmental Nuc.,LDT,14,Pontine Central Gray Area,43,0,43,#AFAF00,23.20561252
36,Subceruleus nucleus,Subceruleus nucleus,SLC,14,Pontine Central Gray Area,5,9,14,#AFAF00,31.6027088
37,Barrington's nucleus,Barrington's nucleus,B,14,Pontine Central Gray Area,31,0,31,#AFAF00,42.58241758
38,Pons,Pons,P,14,Pontine Central Gray Area,150,43,193,#AFAF00,26.10577573
39,Locus ceruleus,Locus ceruleus,LC,30,Unused,1,2,3,#808080,-1
40,Parabrachial nucleus,Parabrachial nucleus,PB,15,Parabrachial / Pedunculopontine,1,0,1,#C8C800,-1
41,Pedunculopontine nucleus,Pedunculopontine nucleus,PPN,15,Parabrachial / Pedunculopontine,59,1,60,#C8C800,22.71006813
42,Fastigial nucleus,Fastigial nucleus,FN,16,Cerebellospinal Nuclei,0,0,0,#FF1E96,-1
43,Interposed nucleus,Interposed nucleus,IP,16,Cerebellospinal Nuclei,0,0,0,#FF1E96,-1
44,Red nucleus,Red nucleus,RN,17,Red Nucleus,0,430,430,#FFFF00,30.14370838
45,Edinger-Westphal nucleus,Edinger-Westphal nucleus,EW,18,Midbrain Midline Nuclei,1,0,1,#FFE678,-1
46,Interstitial nucleus of Cajal,Interstitial nucleus of Cajal,INC,18,Midbrain Midline Nuclei,0,0,0,#FFE678,0
47,Nucleus of Darkschewitsch,Nucleus of Darkschewitsch,ND,18,Midbrain Midline Nuclei,0,0,0,#FFE678,-1
48,Midbrain,Midbrain,MB,18,Midbrain Midline Nuclei,18,3,21,#FFE678,22.48394004
49,Midbrain reticular nucleus,Midbrain reticular nucleus,MRN,19,Midbrain Reticular Nuclei,40,27,67,#D2D250,13.36525035
50,"Midbrain reticular nucleus, retrorubral area","Midbrn Ret. Nuc., retrorubral",RR,19,Midbrain Reticular Nuclei,3,0,3,#D2D250,19
51,Periaqueductal gray,Periaqueductal gray,PAG,20,Periaqueductal Gray,30,0,30,#000000,14.44390948
52,Paraventricular hypothalamic nucleus,Paraventricular Hyp. Nuc.,PVH,21,Hypothalamic Periventricular Zone,200,0,200,#6432A0,100
53,"Paraventricular hypothalamic nucleus, descending division","Paraventric. Hyp., descend",PVHd,21,Hypothalamic Periventricular Zone,202,6,208,#6432A0,21
54,"Periventricular hypothalamic nucleus, intermediate part","Periventric. Hyp., interm.",Pvi,21,Hypothalamic Periventricular Zone,1,0,1,#6432A0,21
55,Dorsomedial nucleus of the hypothalamus,Dorsomedial Nuc.  Hypothal.,DMH,22,Hypothalamic Lateral Area,18,0,18,#8C32A0,18.94736842
56,Hypothalamus,Hypothalamus,HY,22,Hypothalamic Lateral Area,244,13,257,#8C32A0,59.33964442
57,Lateral hypothalamic area,Lateral hypothalamic area,LHA,22,Hypothalamic Lateral Area,270,22,292,#8C32A0,69.3092808
58,Zona incerta,Zona incerta,ZI,22,Hypothalamic Lateral Area,66,3,69,#8C32A0,71.35470527
59,Anterior hypothalamic nucleus,Anterior hypothal. nucleus,AHN,23,Hypothalamic Medial Area,5,0,5,#B432A0,-1
60,Posterior hypothalamic nucleus,Posterior hypothal. nucleus,PH,23,Hypothalamic Medial Area,2,0,2,#B432A0,9.216589862
61,Ventromedial hypothalamic nucleus,Ventromedial Hyp. Nuc.,VMH,23,Hypothalamic Medial Area,19,1,20,#B432A0,37.80718336
62,Perireunensis nucleus,Perireunensis nucleus,PR,24,Thalamus,3,0,3,#808080,-1
63,"Subparafascicular nucleus, magnocellular part","Subparafasc. Nuc., magno.",SPFm,24,Thalamus,2,0,2,#808080,24
64,Thalamus,Thalamus,TH,24,Thalamus,6,0,6,#808080,18.40490798
65,Ventral medial nucleus of the thalamus,Ventral med.l Nuc. thalamus,VM,24,Thalamus,0,0,0,#808080,-1
66,Nucleus of reuniens,Nucleus of reuniens,RE,24,Thalamus,0,0,0,#808080,0
67,"Central amygdalar nucleus, medial part","Central amyg. Nuc., medial",CEAm,30,Unused,0,0,0,#808080,30
68,Substantia innominata,Substantia innominata,SI,30,Unused,0,0,0,#808080,-1
69,Corticospinal,Corticospinal,CST,25,Corticospinal,202,13,215,#009600,2.595583886
