Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
24,Medial vestibular nucleus,Medial vestibular nucleus,MV,10,Vestibular Nuclei,5,24,29,#462300,66.66666667
25,Lateral vestibular nucleus,Lateral vestibular nucleus,LAV,10,Vestibular Nuclei,1,0,1,#462300,-1
26,"Pontine reticular nucleus, caudal part","Pontine Ret. Nuc., caudal",PRNc,11,Pontine Reticular Nuclei,519,472,991,#BEBEBE,11
27,Pontine reticular nucleus,Pontine reticular nucleus,PRNr,11,Pontine Reticular Nuclei,550,591,1141,#BEBEBE,75.88959095
28,"Superior olivary complex, lateral part","Sup. olivary complex, lateral",SOCl,12,Superior Olivary Complex,9,7,16,#808080,12
29,"Superior olivary complex, medial part","Sup. olivary complex, medial",SOCm,12,Superior Olivary Complex,3,0,3,#808080,12
30,"Superior olivary complex, periolivary region","Sup. olivary, periolivary",POR,12,Superior Olivary Complex,3,0,3,#808080,12
31,Peritrigeminal zone,Peritrigeminal zone,P5,13,Pontine Trigeminal Area,3,2,5,#808080,-1
32,Supratrigeminal nucleus,Supratrigeminal nucleus,SUT,13,Pontine Trigeminal Area,1,2,3,#808080,-1
33,Pontine central gray,Pontine central gray,PGC,14,Pontine Central Gray Area,144,129,273,#AFAF00,90.57730591
34,Sublaterodorsal nucleus,Sublaterodorsal nucleus,SLD,14,Pontine Central Gray Area,65,53,118,#AFAF00,93.13338595
35,Laterodorsal tegmental nucleus,Laterodorsal tegmental Nuc.,LDT,14,Pontine Central Gray Area,86,48,134,#AFAF00,72.3151646
36,Subceruleus nucleus,Subceruleus nucleus,SLC,14,Pontine Central Gray Area,9,27,36,#AFAF00,81.26410835
37,Barrington's nucleus,Barrington's nucleus,B,14,Pontine Central Gray Area,37,24,61,#AFAF00,83.79120879
38,Pons,Pons,P,14,Pontine Central Gray Area,396,461,857,#AFAF00,100
39,Locus ceruleus,Locus ceruleus,LC,30,Unused,2,4,6,#808080,-1
40,Parabrachial nucleus,Parabrachial nucleus,PB,15,Parabrachial / Pedunculopontine,0,0,0,#C8C800,-1
41,Pedunculopontine nucleus,Pedunculopontine nucleus,PPN,15,Parabrachial / Pedunculopontine,123,99,222,#C8C800,84.02725208
42,Fastigial nucleus,Fastigial nucleus,FN,16,Cerebellospinal Nuclei,0,0,0,#FF1E96,-1
43,Interposed nucleus,Interposed nucleus,IP,16,Cerebellospinal Nuclei,0,0,0,#FF1E96,-1
44,Red nucleus,Red nucleus,RN,17,Red Nucleus,629,901,1530,#FFFF00,100
45,Edinger-Westphal nucleus,Edinger-Westphal nucleus,EW,18,Midbrain Midline Nuclei,0,0,0,#FFE678,-1
46,Interstitial nucleus of Cajal,Interstitial nucleus of Cajal,INC,18,Midbrain Midline Nuclei,11,10,21,#FFE678,30.70175439
47,Nucleus of Darkschewitsch,Nucleus of Darkschewitsch,ND,18,Midbrain Midline Nuclei,4,0,4,#FFE678,-1
48,Midbrain,Midbrain,MB,18,Midbrain Midline Nuclei,42,21,63,#FFE678,67.45182013
49,Midbrain reticular nucleus,Midbrain reticular nucleus,MRN,19,Midbrain Reticular Nuclei,179,200,379,#D2D250,75.60343108
50,"Midbrain reticular nucleus, retrorubral area","Midbrn Ret. Nuc., retrorubral",RR,19,Midbrain Reticular Nuclei,15,19,34,#D2D250,19
51,Periaqueductal gray,Periaqueductal gray,PAG,20,Periaqueductal Gray,67,42,109,#000000,52.47953779
52,Paraventricular hypothalamic nucleus,Paraventricular Hyp. Nuc.,PVH,21,Hypothalamic Periventricular Zone,87,132,219,#6432A0,100
53,"Paraventricular hypothalamic nucleus, descending division","Paraventric. Hyp., descend",PVHd,21,Hypothalamic Periventricular Zone,40,37,77,#6432A0,21
54,"Periventricular hypothalamic nucleus, intermediate part","Periventric. Hyp., interm.",Pvi,21,Hypothalamic Periventricular Zone,1,0,1,#6432A0,21
55,Dorsomedial nucleus of the hypothalamus,Dorsomedial Nuc.  Hypothal.,DMH,22,Hypothalamic Lateral Area,12,15,27,#8C32A0,28.42105263
56,Hypothalamus,Hypothalamus,HY,22,Hypothalamic Lateral Area,157,81,238,#8C32A0,54.95266682
57,Lateral hypothalamic area,Lateral hypothalamic area,LHA,22,Hypothalamic Lateral Area,246,130,376,#8C32A0,89.24756705
58,Zona incerta,Zona incerta,ZI,22,Hypothalamic Lateral Area,78,17,95,#8C32A0,98.24198552
59,Anterior hypothalamic nucleus,Anterior hypothal. nucleus,AHN,23,Hypothalamic Medial Area,3,3,6,#B432A0,-1
60,Posterior hypothalamic nucleus,Posterior hypothal. nucleus,PH,23,Hypothalamic Medial Area,1,6,7,#B432A0,32.25806452
61,Ventromedial hypothalamic nucleus,Ventromedial Hyp. Nuc.,VMH,23,Hypothalamic Medial Area,13,11,24,#B432A0,45.36862004
62,Perireunensis nucleus,Perireunensis nucleus,PR,24,Thalamus,10,7,17,#808080,-1
63,"Subparafascicular nucleus, magnocellular part","Subparafasc. Nuc., magno.",SPFm,24,Thalamus,0,4,4,#808080,24
64,Thalamus,Thalamus,TH,24,Thalamus,2,11,13,#808080,39.87730061
65,Ventral medial nucleus of the thalamus,Ventral med.l Nuc. thalamus,VM,24,Thalamus,0,2,2,#808080,-1
66,Nucleus of reuniens,Nucleus of reuniens,RE,24,Thalamus,1,0,1,#808080,3.125
67,"Central amygdalar nucleus, medial part","Central amyg. Nuc., medial",CEAm,30,Unused,0,0,0,#808080,30
68,Substantia innominata,Substantia innominata,SI,30,Unused,0,0,0,#808080,-1
69,Corticospinal,Corticospinal,CST,25,Corticospinal,1432,2590,4022,#009600,48.55552739
