Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
29,"Superior olivary complex, medial part","Sup. olivary complex, medial",SOCm,12,Superior Olivary Complex,20,21,41,#808080,12
30,"Superior olivary complex, periolivary region","Sup. olivary, periolivary",POR,12,Superior Olivary Complex,23,10,33,#808080,12
31,Peritrigeminal zone,Peritrigeminal zone,P5,13,Pontine Trigeminal Area,37,30,67,#808080,69.8
32,Supratrigeminal nucleus,Supratrigeminal nucleus,SUT,13,Pontine Trigeminal Area,24,17,41,#808080,71.9
33,Pontine central gray,Pontine central gray,PGC,14,Pontine Central Gray Area,101,126,227,#AFAF00,41.1
34,Sublaterodorsal nucleus,Sublaterodorsal nucleus,SLD,14,Pontine Central Gray Area,17,14,31,#AFAF00,38.3
35,Laterodorsal tegmental nucleus,Laterodorsal tegmental Nuc.,LDT,14,Pontine Central Gray Area,182,189,371,#AFAF00,42.8
36,Subceruleus nucleus,Subceruleus nucleus,SLC,14,Pontine Central Gray Area,14,22,36,#AFAF00,39.6
37,Barrington's nucleus,Barrington's nucleus,B,14,Pontine Central Gray Area,19,21,40,#AFAF00,43.0
38,Pons,Pons,P,14,Pontine Central Gray Area,505,526,1031,#AFAF00,45.2
39,Locus ceruleus,Locus ceruleus,LC,30,Unused,5,5,10,#808080,0.0
40,Parabrachial nucleus,Parabrachial nucleus,PB,15,Parabrachial / Pedunculopontine,148,49,197,#C8C800,84.2
41,Pedunculopontine nucleus,Pedunculopontine nucleus,PPN,15,Parabrachial / Pedunculopontine,565,485,1050,#C8C800,57.3
42,Fastigial nucleus,Fastigial nucleus,FN,16,Cerebellospinal Nuclei,196,294,490,#FF1E96,99.2
43,Interposed nucleus,Interposed nucleus,IP,16,Cerebellospinal Nuclei,162,169,331,#FF1E96,97.9
44,Red nucleus,Red nucleus,RN,17,Red Nucleus,531,1713,2244,#FFFF00,53.4
45,Edinger-Westphal nucleus,Edinger-Westphal nucleus,EW,18,Midbrain Midline Nuclei,82,96,178,#FFE678,78.8
46,Interstitial nucleus of Cajal,Interstitial nucleus of Cajal,INC,18,Midbrain Midline Nuclei,199,204,403,#FFE678,80.1
47,Nucleus of Darkschewitsch,Nucleus of Darkschewitsch,ND,18,Midbrain Midline Nuclei,427,199,626,#FFE678,92.5
48,Midbrain,Midbrain,MB,18,Midbrain Midline Nuclei,356,397,753,#FFE678,74.1
49,Midbrain reticular nucleus,Midbrain reticular nucleus,MRN,19,Midbrain Reticular Nuclei,1533,1694,3227,#D2D250,77.0
50,"Midbrain reticular nucleus, retrorubral area","Midbrn Ret. Nuc., retrorubral",RR,19,Midbrain Reticular Nuclei,78,39,117,#D2D250,19
51,Periaqueductal gray,Periaqueductal gray,PAG,20,Periaqueductal Gray,873,662,1535,#000000,65.9
52,Paraventricular hypothalamic nucleus,Paraventricular Hyp. Nuc.,PVH,21,Hypothalamic Periventricular Zone,3,6,9,#6432A0,7.0
53,"Paraventricular hypothalamic nucleus, descending division","Paraventric. Hyp., descend",PVHd,21,Hypothalamic Periventricular Zone,20,39,59,#6432A0,21
54,"Periventricular hypothalamic nucleus, intermediate part","Periventric. Hyp., interm.",Pvi,21,Hypothalamic Periventricular Zone,6,22,28,#6432A0,21
55,Dorsomedial nucleus of the hypothalamus,Dorsomedial Nuc.  Hypothal.,DMH,22,Hypothalamic Lateral Area,13,23,36,#8C32A0,58.1
56,Hypothalamus,Hypothalamus,HY,22,Hypothalamic Lateral Area,490,546,1036,#8C32A0,59.2
57,Lateral hypothalamic area,Lateral hypothalamic area,LHA,22,Hypothalamic Lateral Area,280,250,530,#8C32A0,69.0
58,Zona incerta,Zona incerta,ZI,22,Hypothalamic Lateral Area,303,95,398,#8C32A0,56.4
59,Anterior hypothalamic nucleus,Anterior hypothal. nucleus,AHN,23,Hypothalamic Medial Area,40,46,86,#B432A0,90.5
60,Posterior hypothalamic nucleus,Posterior hypothal. nucleus,PH,23,Hypothalamic Medial Area,8,9,17,#B432A0,0.0
61,Ventromedial hypothalamic nucleus,Ventromedial Hyp. Nuc.,VMH,23,Hypothalamic Medial Area,213,248,461,#B432A0,68.8
62,Perireunensis nucleus,Perireunensis nucleus,PR,24,Thalamus,87,42,129,#808080,48.0
63,"Subparafascicular nucleus, magnocellular part","Subparafasc. Nuc., magno.",SPFm,24,Thalamus,5,2,7,#808080,24
64,Thalamus,Thalamus,TH,24,Thalamus,43,31,74,#808080,38.1
65,Ventral medial nucleus of the thalamus,Ventral med.l Nuc. thalamus,VM,24,Thalamus,132,35,167,#808080,46.1
66,Nucleus of reuniens,Nucleus of reuniens,RE,24,Thalamus,91,40,131,#808080,18.0
67,"Central amygdalar nucleus, medial part","Central amyg. Nuc., medial",CEAm,30,Unused,62,36,98,#808080,30
68,Substantia innominata,Substantia innominata,SI,30,Unused,103,248,351,#808080,100.0
69,Corticospinal,Corticospinal,CST,25,Corticospinal,7535,8198,15733,#009600,81.5
